age,gender,homeland,target,accommodation,company,activities,decision,transport,cost,enjoyment
More than 25 years old,Female,South America,Seaside,Hostel,Alone,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I want to visit a certain place,Airplane;Bus or taxi,1500 BRL = 350 usd,9
More than 25 years old,Male,North America,Seaside;City,Hotel or motel,Friends;Boyfriend/girlfriend,"Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Attending concerts or live events (e.g. football match);Visiting fancy bars and restaurants",I want to visit a certain place,Car;Train;Airplane,$2500,8
14 - 16 years old,Male,Western Europe,Seaside;Mountains,Hotel or motel,Family,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Extreme sports;Travelling, visiting cities and places of interest",I want to visit a certain place,Car;Airplane,,9
More than 25 years old,Female,North America,City ,Hotel or motel;Rent a house;Family or friend's house,Family;Boyfriend/girlfriend,"Travelling, visiting cities and places of interest;Attending concerts or live events (e.g. football match)",I want to visit a certain place,Car;Train;Airplane;Bus or taxi,"3,000",8
More than 25 years old,Male,North America,Lake or river;Countryside;Always In the same state i live ,Hotel or motel,Alone,"Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home;Camping;Attending concerts or live events (e.g. football match)",I want to visit a certain place,Car,500usd,10
More than 25 years old,Male,Asia,Seaside;Countryside,Family or friend's house,Family,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home",My relatives live there,Airplane,3500 US$,9
14 - 16 years old,Female,Western Europe,Seaside;Mountains;Lake or river;Countryside,Family or friend's house,Family;Friends,"Going to the beach;Travelling, visiting cities and places of interest;Attending concerts or live events (e.g. football match)","My relatives live there;I always go there on vacation, it's a tradition;I have a house there",Car,,9
14 - 16 years old,Male,Western Europe,Seaside;Mountains;Lake or river;Countryside,Hotel or motel;Rent a house;Family or friend's house,Family;Friends;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Cruise","I want to visit a certain place;I always go there on vacation, it's a tradition;I have a house there",Car;Train;Airplane,300 €,9
More than 25 years old,Male,Western Europe,Seaside,Rent a house;Family or friend's house,Friends;Alone,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I have friends there;I want to visit a certain place,Car,1000 €,10
More than 25 years old,Female,North America,Mountains,Family or friend's house;Tent or hut,Family;Friends;Alone,"Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Cruise;Camping","I have friends there;My relatives live there;I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Airplane,2000 $,8
18 - 25 years old,Female,Western Europe,Mountains;Lake or river;Countryside,Hotel or motel;Rent a house;Tent or hut,Friends;Boyfriend/girlfriend,Trekking or walking;Visiting museums and cultural sites;Staying at home;Camping,"I want to visit a certain place;I always go there on vacation, it's a tradition;Group vacation, the group decides",Train;Bus or taxi,500 €,10
18 - 25 years old,Agender,Northen Europe,Countryside,Hotel or motel;Rent a house,Family,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home",I want to visit a certain place,Car;Train;Airplane;Bus or taxi;Cruise ship,150€,4
18 - 25 years old,Female,North America,Mountains;Lake or river,Hotel or motel;Rent a house;Camper,Family;Friends,"Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Camping","I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Airplane,,8
More than 25 years old,Male,Australia,Seaside;Mountains;Countryside,Family or friend's house;Tent or hut,Family;Friends;Boyfriend/girlfriend,Trekking or walking;Visiting museums and cultural sites;Camping,My relatives live there;Price / availability,Car,40 $aud,9
